date,time,item_name,transaction_type,own_cup,surcharge,customer_id
2022-01-01,07:03:30,Cold Brew,Takeout,True,False,26946
2022-01-01,07:30:58,Iced Coffee,Takeout,True,False,24356
2022-01-01,08:32:23,Iced Latte,Takeout,False,False,3760
2022-01-01,08:45:03,Latte,Dine-in,True,False,5900
2022-01-01,09:03:47,Latte,Takeout,False,False,11589
2022-01-01,10:02:30,Flat White,Takeout,True,False,1786
2022-01-01,10:29:29,Iced Latte,Takeout,False,False,904
2022-01-01,10:53:39,Flat White,Takeout,True,False,4942
2022-01-01,10:59:50,Americano,Dine-in,True,False,7692
2022-01-01,11:02:54,Chai Latte,Takeout,False,False,25702
2022-01-01,11:10:10,Iced Coffee,Takeout,True,False,28392
2022-01-01,11:37:42,Matcha Latte,Takeout,False,False,22643
2022-01-01,11:51:50,Cold Brew,Takeout,True,False,20890
2022-01-01,12:35:16,Iced Latte,Takeout,True,False,24017
2022-01-01,14:04:54,Latte,Takeout,True,False,25267
2022-01-01,15:30:23,Cold Brew,Dine-in,True,False,7962
2022-01-01,15:55:21,Iced Coffee,Takeout,True,False,3881
2022-01-02,07:09:02,Iced Matcha Latte,Takeout,False,False,10167
2022-01-02,07:30:08,Matcha Latte,Dine-in,True,False,20155
2022-01-02,07:40:06,Latte,Takeout,False,False,28392
2022-01-02,07:56:27,Green Tea,Takeout,False,False,12458
2022-01-02,08:26:25,Hot Chocolate,Takeout,True,False,9514
2022-01-02,08:47:16,Iced Matcha Latte,Takeout,False,False,948
2022-01-02,09:13:31,Iced Latte,Takeout,False,False,16817
2022-01-02,09:27:33,Iced Latte,Takeout,False,False,24115
2022-01-02,09:31:35,Latte,Takeout,True,False,15800
2022-01-02,10:08:01,Chai Latte,Takeout,False,False,27177
2022-01-02,10:19:33,Cold Brew,Dine-in,False,False,14478
2022-01-02,10:25:25,Americano,Takeout,False,False,2674
2022-01-02,10:30:10,Latte,Takeout,False,False,25702
2022-01-02,10:43:09,Espresso,Takeout,False,False,18500
2022-01-02,11:12:13,Chai Latte,Takeout,True,False,2707
2022-01-02,11:14:05,Iced Matcha Latte,Takeout,False,False,4660
2022-01-02,11:14:47,Americano,Dine-in,True,False,5958
2022-01-02,11:51:31,Iced Coffee,Takeout,True,False,2528
2022-01-02,12:21:48,Iced Matcha Latte,Takeout,False,False,20890
2022-01-02,13:53:48,Cold Brew,Takeout,False,False,11904
2022-01-02,15:16:40,Iced Coffee,Dine-in,False,False,5900
2022-01-02,15:17:53,Americano,Takeout,True,False,24356
2022-01-02,15:26:48,Espresso,Takeout,True,False,11609
2022-01-02,15:41:22,Hot Chocolate,Dine-in,False,False,24899
2022-01-02,15:57:41,Chai Latte,Takeout,True,False,4741
2022-01-02,15:58:30,Iced Coffee,Dine-in,True,False,7772
2022-01-03,07:18:11,Flat White,Dine-in,False,False,15600
2022-01-03,07:18:28,Espresso,Dine-in,False,False,10437
2022-01-03,07:19:59,Espresso,Takeout,False,False,28495
2022-01-03,07:19:59,Tote Bag,Takeout,N/A,False,28495
2022-01-03,07:28:03,Matcha Latte,Takeout,True,False,844
2022-01-03,07:35:19,Iced Matcha Latte,Dine-in,True,False,2058
2022-01-03,07:44:01,Mocha,Takeout,True,False,23838
2022-01-03,08:07:40,Latte,Dine-in,True,False,21460
2022-01-03,08:30:38,Iced Coffee,Takeout,True,False,22643
2022-01-03,08:45:28,Iced Latte,Takeout,False,False,19217
2022-01-03,08:54:35,Hot Chocolate,Dine-in,False,False,24090
2022-01-03,09:10:25,Cold Brew,Dine-in,False,False,4942
2022-01-03,09:31:45,Green Tea,Takeout,False,False,2152
2022-01-03,09:33:20,Iced Latte,Takeout,False,False,15009
2022-01-03,09:35:56,Matcha Latte,Takeout,False,False,13874
2022-01-03,09:42:56,Mocha,Takeout,False,False,2386
2022-01-03,09:51:27,Cold Brew,Takeout,False,False,18085
2022-01-03,09:53:50,Latte,Takeout,False,False,19553
2022-01-03,10:13:03,Americano,Takeout,False,False,25702
2022-01-03,10:19:05,Iced Matcha Latte,Takeout,False,False,17983
2022-01-03,11:16:40,Iced Matcha Latte,Takeout,False,False,8877
2022-01-03,11:21:57,Chai Latte,Takeout,False,False,20890
2022-01-03,11:27:03,Green Tea,Takeout,True,False,8044
2022-01-03,11:28:40,Hot Chocolate,Takeout,True,False,7467
2022-01-03,11:34:55,Latte,Takeout,True,False,25264
2022-01-03,11:34:58,Iced Coffee,Takeout,False,False,19596
2022-01-03,12:09:20,Iced Coffee,Takeout,True,False,19533
2022-01-03,12:15:02,Chai Latte,Dine-in,False,False,15371
2022-01-03,12:41:20,Flat White,Takeout,False,False,25413
2022-01-03,12:44:08,Latte,Dine-in,False,False,14685
2022-01-03,12:44:24,Green Tea,Takeout,True,False,24135
2022-01-03,12:56:55,Green Tea,Takeout,False,False,21690
2022-01-03,12:57:21,Matcha Latte,Dine-in,False,False,19819
2022-01-03,13:05:00,Matcha Latte,Dine-in,False,False,19453
2022-01-03,15:04:13,Flat White,Takeout,False,False,23538
2022-01-03,15:24:22,Iced Coffee,Dine-in,True,False,7882
2022-01-04,07:00:15,Mocha,Dine-in,True,False,28615
2022-01-04,07:22:31,Cappuccino,Dine-in,True,False,29566
2022-01-04,07:37:26,Flat White,Takeout,False,False,2409
2022-01-04,07:44:32,Iced Matcha Latte,Dine-in,False,False,29154
2022-01-04,08:04:35,Matcha Latte,Takeout,False,False,3760
2022-01-04,08:21:44,Latte,Takeout,False,False,25059
2022-01-04,08:33:57,Hot Chocolate,Dine-in,False,False,12762
2022-01-04,08:37:09,Flat White,Takeout,True,False,14571
2022-01-04,09:01:00,Matcha Latte,Takeout,True,False,17910
2022-01-04,09:08:02,Matcha Latte,Takeout,True,False,8698
2022-01-04,09:55:43,Latte,Dine-in,False,False,16702
2022-01-04,10:37:33,Iced Coffee,Dine-in,True,False,21624
2022-01-04,10:40:54,Iced Latte,Takeout,False,False,5451
2022-01-04,10:41:56,Latte,Takeout,False,False,22741
2022-01-04,11:08:55,Latte,Takeout,True,False,2661
2022-01-04,11:10:15,Cappuccino,Takeout,True,False,4147
2022-01-04,11:29:02,Americano,Dine-in,False,False,20301
2022-01-04,11:37:06,Americano,Dine-in,False,False,24342
2022-01-04,12:07:16,Cappuccino,Takeout,False,False,11455
